Title,Author_Institution
The Satisfaction Degree of Government Schools' Principals in Irbid Governorate about the Performance of Educational Counselor in the Light of Spreading Coronavirus (COVID-19),"[('Osama Al-Masarwa', 'https://www.researchgate.net/profile/Osama-Al-Masarwa-2', 'Ministry of Education', ' '), ('Dr Odai Al-Masarwah', 'https://www.researchgate.net/profile/Dr-Al-Masarwah', 'The World Islamic Science and Education University', 'https://www.researchgate.net/institution/The_World_Islamic_Science_and_Education_University')]"
Monoclonal Antibodies as Potential Treatment Drugs for Nsp15 and 3CL pro Proteins,"[('Shifaa Alshammari', 'https://www.researchgate.net/profile/Shifaa-Alshammari', 'University of Hafr Al Batin', 'https://www.researchgate.net/institution/University_of_Hafr_Al_Batin'), ('Ghassab Al-Mazaideh', 'https://www.researchgate.net/profile/Ghassab-Al-Mazaideh', 'University of Hafr Al Batin', 'https://www.researchgate.net/institution/University_of_Hafr_Al_Batin'), ('Fadi Alakhras', 'https://www.researchgate.net/profile/Fadi-Alakhras', 'Middle East University, Jordan', ' '), ('M A Huneif', 'https://www.researchgate.net/scientific-contributions/Mohammed-Ayed-Huneif-2192843472', ' ', ' ')]"
Special Issue_Call for Papers: “Exploring the Future of E-commerce : Post pandemic Era”,"[('Rubee Singh', 'https://www.researchgate.net/profile/Rubee-Singh', 'GLA University', 'https://www.researchgate.net/institution/GLA-University'), ('Shahbaz Khan', 'https://www.researchgate.net/profile/Shahbaz-Khan-30', 'GLA University', 'https://www.researchgate.net/institution/GLA-University'), ('Piera Centobelli', 'https://www.researchgate.net/profile/Piera-Centobelli', 'University of Naples Federico II', 'https://www.researchgate.net/institution/University-of-Naples-Federico-II')]"
"New Onset of Health Complications in Patient after COVID-19 Recovery. Sustainability, Agri, Food and Environmental Research (ISSN: 0719-3726)","[('Latika Yadav', 'https://www.researchgate.net/profile/Latika-Yadav', 'Government Degree College Puwarka Saharanpur', ' '), ('Poonam Maurya', 'https://www.researchgate.net/profile/Poonam-Maurya-2', 'Dr. A.P.J. Abdul Kalam Technical University', 'https://www.researchgate.net/institution/Dr-APJ-Abdul-Kalam-Technical-University'), ('Neelesh Kumar Maurya', 'https://www.researchgate.net/profile/Neelesh-Maurya', 'P.K University shivpuri Madhya Pradesh', ' ')]"
COVID-19 Pandemic and Digital Banking Trends: Managerial Perspective on Challenges and Opportunities,"[('Anita Damenshie-Brown', 'https://www.researchgate.net/scientific-contributions/Anita-Damenshie-Brown-2233253106', ' ', ' '), ('Kingsley Ofosu-Ampong.', 'https://www.researchgate.net/profile/Kingsley-Ofosu-Ampong', 'University of Ghana', 'https://www.researchgate.net/institution/University_of_Ghana')]"
"دراسة العلاقة بين أبعاد التسويق الاجتماعي و تغيير السلوك الصحي لطلاب جامعة عين شمس باستخدام حملة الوقاية أصل الحكاية (دراسة ميدانية) Studying the relationship between the dimensions of social marketing and health behavior change for Ain Shams University students, using Campaign of Prevention is the origin of the tale (A field study)","[('Mohamed Gamal Abdelnaser Desokey', 'https://www.researchgate.net/profile/Mohamed-Desokey', 'Faculty of Business - Ain Shams University', ' '), ('Gihan Abd Almonem Ragab', 'https://www.researchgate.net/scientific-contributions/Gihan-Abd-Almonem-Ragab-2220298156', ' ', ' '), ('Hanan Hussain Ahmed', 'https://www.researchgate.net/scientific-contributions/Hanan-Hussain-Ahmed-2220292852', ' ', ' ')]"
A bio-inspired LIDA cognitive-based Digital Twin architecture for unmanned maintenance of machine tools,"[('Jianhao Lv', 'https://www.researchgate.net/scientific-contributions/Jianhao-Lv-2221612854', ' ', ' '), ('Xinyu Li', 'https://www.researchgate.net/profile/Xinyu-Li-29', 'Donghua University', 'https://www.researchgate.net/institution/Donghua_University'), ('Yicheng Sun', 'https://www.researchgate.net/scientific-contributions/Yicheng-Sun-2189379191', ' ', ' '), ('Yu Zheng', 'https://www.researchgate.net/scientific-contributions/Yu-Zheng-2163075344', ' ', ' ')]"
"Brito, A. P. (2023). People Analytics in the COVID-19 Pandemic: how empathy and privacy turned out the hot topics. In M.J. Sousa, S. K. Pani, F.D. Mas, S. Sousa (Eds.), Advancements in Artificial Intelligence in The Service Sector (1, 9, pp.). CRC Press. https://www.appleacademicpress.com/advances-in-artificial-intelligence-in-the-service-sector-/1278?fbclid=IwAR27uF6O3-hyYMmTbvSCWxH3te5t8ea4c4haf9Al9VACvWv9FzgyZdKfAwE","[('António Pimenta de Brito', 'https://www.researchgate.net/profile/Antonio-Pimenta-De-Brito', 'Instituto Politécnico da Lusofonia (ESCAD - IP Luso) - Universidade Lusófona', ' ')]"
Designing an optimization model for the vaccine supply chain during the COVID-19 pandemic,"[('Jaber Valizadeh', 'https://www.researchgate.net/profile/Jaber-Valizadeh', 'Western Sydney University', 'https://www.researchgate.net/institution/Western-Sydney-University'), ('Shadi Boloukifar', 'https://www.researchgate.net/scientific-contributions/Shadi-Boloukifar-2234280737', ' ', ' '), ('Sepehr Soltani', 'https://www.researchgate.net/profile/Sepehr-Soltani-4', 'University of Houston', 'https://www.researchgate.net/institution/University-of-Houston'), ('Ehsan Jabalbarezi Hookerd', 'https://www.researchgate.net/scientific-contributions/Ehsan-Jabalbarezi-Hookerd-2234296819', ' ', ' ')]"
Students' perception of emergency remote teaching in the Sultanate of Oman,"[('Ramesh Gengatharan', 'https://www.researchgate.net/profile/Ramesh-Gengatharan', 'University of Technology and Applied Sciences Ibra', ' '), ('Ramesh Saranya', 'https://www.researchgate.net/scientific-contributions/Ramesh-Saranya-2238262685', ' ', ' '), ('Al-Harthy Ebtehag', 'https://www.researchgate.net/scientific-contributions/Al-Harthy-Ebtehag-2238268270', ' ', ' '), ('Al Badowi Khalid', 'https://www.researchgate.net/scientific-contributions/Al-Badowi-Khalid-2238261550', ' ', ' ')]"
